"","Past 3 Months","","Past 6 Months","","Past 12 Months" 
"628-เป็นหรือเคยเป็นหนี้ TDR ของ GSB","0","0.00","0","0.00","0","0.00" 
"629-เคยมีประวัติถูกดำเนินคดีทางกฏหมาย","0","0.00","0","0.00","0","0.00" 
"63-เคยถูกปฏิเสธใบสมัคร Product เดียวกันน้อยกว่า 6 เดือน","0","0.00","0","0.00","0","0.00" 
"630-สถานะบัญชีสินเชื่อ GSB ไม่เป็นไปตามเกณฑ์","0","0.00","0","0.00","0","0.00" 
"631-ระดับความเสี่ยง KYC ไม่เป็นไปตาม","0","0.00","0","0.00","0","0.00" 
"632-ติดต่อผู้สมัครไม่ได้","0","0.00","0","0.00","0","0.00" 
"633-ไม่สามารถติดต่อฝ่ายบุคคล / ธนาคาร ได้","0","0.00","0","0.00","0","0.00" 
"634-ไม่สามารถตรวจสอบข้อมูล / ข้อมูลไม่น่าเชื่อถือ","0","0.00","0","0.00","0","0.00" 
"635-การจ้างงานมีเงื่อนไข หรือมีกำหนดเวลาในการจ้าง","0","0.00","0","0.00","0","0.00" 
"636-ลูกค้าไม่ได้พักอาศัยหรือทำงานอยู่ในประเทศไทย","0","0.00","0","0.00","0","0.00" 
"637-ลูกค้าไม่มีโทรศัพท์ Landline ที่บ้าน หรือที่ทำงาน","0","0.00","0","0.00","0","0.00" 
"638-ลูกค้าลาออกจากบริษัทแล้ว","0","0.00","0","0.00","0","0.00" 
"639-อายุงาน / อายุการประกอบธุรกิจไม่ถึงเกณฑ์ของธนาคาร","0","0.00","0","0.00","0","0.00" 
"64-DTI ไม่เป็นไปตามเกณฑ์","0","0.00","0","0.00","0","0.00" 
"640-รายได้ของผู้สมัครต่ำกว่าเกณฑ์","0","0.00","0","0.00","0","0.00" 
"641-ตรวจพบข้อมูลใน Bank Ruptcy ว่ามีมีชื่ออยู่ในประกาศพิทักษ์ทรัพย์ / ล้มละลาย","0","0.00","0","0.00","0","0.00" 
"642-ลูกค้ายืนยันไม่ได้สมัครสินเชื่อ/บัตรเข้ามา","0","0.00","0","0.00","0","0.00" 
"643-คะเเนน A Score ไม่ผ่านเกณฑ์การพิจารณา","0","0.00","0","0.00","0","0.00" 
"644-คะเเนน NCB Score ไม่ผ่านเกณฑ์การพิจารณา","0","0.00","0","0.00","0","0.00" 
"645-คะเเนน A Score เเละ NCB Score ไม่ผ่านเกณฑ์การพิจารณา","0","0.00","0","0.00","0","0.00" 
"646-พบประวัติหนี้ค้างชำระ","0","0.00","0","0.00","0","0.00" 
"647-เงินเดือนต่ำกว่าเกณฑ์ผลิตภัณฑ์","60","12.88","60","12.88","60","12.88" 
"65-อาชีพ / ธุรกิจ ที่ไม่สามารถใช้สินเชื่อนี้ได้ (Negative Occupation) Product Consumer","0","0.00","0","0.00","0","0.00" 
"66-มีประวัติชำระล่าช้า สินเชื่อ/บัตรเครดิตใน NCB ไม่เป็นไปตามเกณฑ์","0","0.00","0","0.00","0","0.00" 
"67-มียอดค้างชำระ/ค่าธรรมเนียมติดตามหนี้ในใบแจ้งหนี้","0","0.00","0","0.00","0","0.00" 
"68-เป็นหรือเคยเป็นหนี้ NPL หรือถูกระงับการให้บริการสินเชื่อ/บัตรเครดิต ใน NCB","0","0.00","0","0.00","0","0.00" 
"69-มีประวัติใช้เกินวงเงินสินเชื่อ/บัตรเครดิตใน NCB","209","44.85","209","44.85","209","44.85" 
